Step,Term/Field,Definition,Data Type,Example Values,Context
3 - Economic Beliefs,reflation,Reflation scenario weight,decimal,0.0-1.0,Economic scenario
3 - Economic Beliefs,tech_burst,Technology bubble burst scenario weight,decimal,0.0-1.0,Economic scenario
3 - Economic Beliefs,ai_recession,AI-driven recession scenario weight,decimal,0.0-1.0,Economic scenario
4 - Portfolio Analysis,CASH,Cash holdings allocation,decimal,0.0-1.0,Asset bucket
4 - Portfolio Analysis,BILLS_SHORT_GILTS,Short-term government bonds allocation,decimal,0.0-1.0,Asset bucket
4 - Portfolio Analysis,GILTS_LONG,Long-term government bonds allocation,decimal,0.0-1.0,Asset bucket
4 - Portfolio Analysis,IG_CREDIT,Investment grade credit allocation,decimal,0.0-1.0,Asset bucket
4 - Portfolio Analysis,GLOBAL_EQUITY,Global equity allocation,decimal,0.0-1.0,Asset bucket
4 - Portfolio Analysis,UK_EQUITY_VALUE,UK value equity allocation,decimal,0.0-1.0,Asset bucket
4 - Portfolio Analysis,GROWTH_TECH,Growth and technology equity allocation,decimal,0.0-1.0,Asset bucket
4 - Portfolio Analysis,PROPERTY_UK_RESI,UK residential property allocation,decimal,0.0-1.0,Asset bucket
4 - Portfolio Analysis,COMMODITIES,Commodities allocation,decimal,0.0-1.0,Asset bucket
4 - Portfolio Analysis,GOLD,Gold allocation,decimal,0.0-1.0,Asset bucket
4 - Portfolio Analysis,ALTERNATIVES,Alternative investments allocation,decimal,0.0-1.0,Asset bucket
4 - Portfolio Analysis,CRYPTO_BTC,Bitcoin allocation,decimal,0.0-1.0,Asset bucket
4 - Portfolio Analysis,CRYPTO_ETH,Ethereum allocation,decimal,0.0-1.0,Asset bucket
4 - Portfolio Analysis,COLLECTIBLES_ART,Art collectibles allocation,decimal,0.0-1.0,Asset bucket
4 - Portfolio Analysis,COLLECTIBLES_WINE,Wine collectibles allocation,decimal,0.0-1.0,Asset bucket
4 - Portfolio Analysis,currentMix,Current portfolio allocation by asset bucket,object,Asset bucket → percentage,Portfolio state
4 - Portfolio Analysis,targetMix,Recommended portfolio allocation by asset bucket,object,Asset bucket → percentage,Portfolio target
4 - Portfolio Analysis,baseMix,Persona baseline allocation before scenario tilts,object,Asset bucket → percentage,Baseline allocation
4 - Portfolio Analysis,scenarioBlend,Pure scenario-weighted allocation,object,Asset bucket → percentage,Scenario impact
4 - Portfolio Analysis,preRulesMix,Allocation before applying portfolio rules,object,Asset bucket → percentage,Pre-adjustment state
4 - Portfolio Analysis,tiltStrength,Strength of scenario tilting applied,decimal,0.0-1.0,Scenario influence
4 - Portfolio Analysis,cashBillsNow,Current cash + short gilts percentage,decimal,0.0-1.0,Liquidity metric
4 - Portfolio Analysis,cashBillsTarget,Target cash + short gilts percentage,decimal,0.0-1.0,Liquidity target
4 - Portfolio Analysis,hhiNow,Current Herfindahl-Hirschman Index for diversification,decimal,0.0-1.0,Concentration measure
4 - Portfolio Analysis,hhiTarget,Target Herfindahl-Hirschman Index for diversification,decimal,0.0-1.0,Diversification target
4 - Portfolio Analysis,nEffNow,Current effective number of assets,decimal,1.0+,Diversification metric
4 - Portfolio Analysis,nEffTarget,Target effective number of assets,decimal,1.0+,Diversification goal
4 - Portfolio Analysis,beliefAlignmentNow,Current alignment with economic beliefs,number,0-100,Belief consistency
4 - Portfolio Analysis,beliefAlignmentTarget,Target alignment with economic beliefs,number,0-100,Belief alignment goal
5 - Investment Strategy,bucket,Asset bucket name,string,Asset bucket identifier,Asset classification
5 - Investment Strategy,currentPct,Current allocation percentage,decimal,0.0-1.0,Current state
5 - Investment Strategy,targetPct,Target allocation percentage,decimal,0.0-1.0,Recommended state
5 - Investment Strategy,deltaPct,Change required (target - current),decimal,-1.0 to 1.0,Required adjustment
5 - Investment Strategy,flags,Warning or status flags for the allocation,array of strings,"Liquidity floor warning",Risk alerts
5 - Investment Strategy,absGapSum,Sum of absolute allocation differences,decimal,0.0+,Total change magnitude
5 - Investment Strategy,headlineFlags,High-level portfolio warnings,array of strings,Portfolio-level alerts,Risk management
5 - Investment Strategy,turnoverPp,Portfolio turnover in percentage points,decimal,0.0+,Transaction volume
5 - Investment Strategy,estCostPct,Estimated transaction cost percentage,decimal,0.0+,Cost estimation
5 - Investment Strategy,liquidityRunwayMonths,Months of liquidity available,object,"{ now: 12, target: 18 }",Liquidity planning
5 - Investment Strategy,overview,Single sentence strategy summary,string,High-level strategy description,Strategy summary
5 - Investment Strategy,bullets,Detailed strategy bullet points,array of strings,3-6 human-readable explanations,Strategy details
5 - Investment Strategy,topAdds,Assets to increase most,array of objects,"{ bucket: string, pp: number }",Increase priorities
5 - Investment Strategy,topTrims,Assets to decrease most,array of objects,"{ bucket: string, pp: number }",Decrease priorities
6 - Action Plan,type,Action type classification,string,"TRIM, ADD, TRANSFER",Action category
6 - Action Plan,bucket,Asset bucket for the action,string,Asset bucket identifier,Action target
6 - Action Plan,deltaPct,Change as fraction of total portfolio,decimal,-1.0 to 1.0,Portfolio impact
6 - Action Plan,amountGBP,Monetary value of the action in GBP,number,Positive number,Transaction amount
6 - Action Plan,rationale,Explanation for why action is needed,string,Human-readable justification,Action reasoning
6 - Action Plan,stage,Implementation stage (1 = immediate, 2 = later),number,"1, 2",Execution timing
6 - Action Plan,estCostPct,Estimated transaction cost percentage,decimal,0.0+,Cost impact
6 - Action Plan,totalAbsChangePp,Total absolute change in percentage points,decimal,0.0+,Change magnitude
6 - Action Plan,estTurnoverPp,Estimated portfolio turnover,decimal,0.0+,Activity level
6 - Action Plan,liquidityNowPct,Current liquidity percentage,decimal,0.0-1.0,Current liquidity
6 - Action Plan,liquidityTargetPct,Target liquidity percentage,decimal,0.0-1.0,Liquidity goal
6 - Action Plan,liquidityFixPp,Liquidity adjustment needed,decimal,0.0+,Liquidity correction
6 - Action Plan,playbook,Step-by-step execution instructions,array of strings,Detailed action steps,Implementation guide
6 - Action Plan,portfolioValueGBP,Total portfolio value in GBP,number,Positive number,Portfolio size
6 - Action Plan,liquidityFloorPct,Minimum required liquidity percentage,decimal,0.0-1.0,Liquidity constraint
6 - Action Plan,minTradePct,Minimum trade size as percentage of portfolio,decimal,0.0-1.0,Trade sizing
6 - Action Plan,maxMoves,Maximum number of actions allowed,number,Positive integer,Action limit
6 - Action Plan,stageIlliquids,Whether to stage illiquid asset trades,boolean,"true, false",Execution strategy
